file_name,temperature,species,rep,cell_density,start_time,cell_volume,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours,total_biovolume
data-raw/flowcam-summaries-dec01/05CR1_summary,5.0,CR,1,94.0,2016-12-01  10:48:27,244.82,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 10:48:27 UTC,22.772731481481483,546.5455555555556,23013.079999999998
data-raw/flowcam-summaries-dec01/05CR2_summary,5.0,CR,2,94.0,2016-12-01  10:50:12,775.98,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 10:50:12 UTC,22.77394675925926,546.5747222222222,72942.12
data-raw/flowcam-summaries-dec01/05CR3_summary,5.0,CR,3,94.0,2016-12-01  10:51:35,461.11,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 10:51:35 UTC,22.774907407407408,546.5977777777778,43344.340000000004
data-raw/flowcam-summaries-dec01/05CR4_summary,5.0,CR,4,0.0,2016-12-01  10:53:09,0.0,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 10:53:09 UTC,22.77599537037037,546.6238888888889,0.0
data-raw/flowcam-summaries-dec01/05CR5_summary,5.0,CR,5,0.0,2016-12-01  10:54:33,0.0,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 10:54:33 UTC,22.77696759259259,546.6472222222222,0.0
data-raw/flowcam-summaries-dec01/08CR1_summary,8.0,CR,1,1366.0,2016-12-01  10:58:58,422.63,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 10:58:58 UTC,22.780034722222222,546.7208333333333,577312.58
data-raw/flowcam-summaries-dec01/08CR2_R2_summary,8.0,CR,2,1742.0,2016-12-01  11:04:03,465.86,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:04:03 UTC,22.783564814814813,546.8055555555555,811528.12
data-raw/flowcam-summaries-dec01/08CR3_summary,8.0,CR,3,2449.0,2016-12-01  11:05:30,1699.1,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:05:30 UTC,22.784571759259258,546.8297222222222,4161095.9
data-raw/flowcam-summaries-dec01/08CR4_R2_summary,8.0,CR,4,942.0,2016-12-01  11:08:58,2404.47,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:08:58 UTC,22.786979166666665,546.8875,2265010.7399999998
data-raw/flowcam-summaries-dec01/08CR5_summary,8.0,CR,5,800.0,2016-12-01  11:10:33,1387.25,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:10:33 UTC,22.788078703703704,546.9138888888889,1109800.0
data-raw/flowcam-summaries-dec01/16CR1_summary,16.0,CR,1,14995.0,2016-12-01  11:15:27,489.26,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:15:27 UTC,22.791481481481483,546.9955555555556,7336453.7
data-raw/flowcam-summaries-dec01/16CR2_summary,16.0,CR,2,16207.0,2016-12-01  11:18:07,523.88,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:18:07 UTC,22.793333333333333,547.04,8490523.16
data-raw/flowcam-summaries-dec01/16CR3_summary,16.0,CR,3,7192.0,2016-12-01  11:19:32,487.37,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:19:32 UTC,22.79431712962963,547.0636111111111,3505165.04
data-raw/flowcam-summaries-dec01/16CR4_summary,16.0,CR,4,16622.0,2016-12-01  11:20:54,562.47,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:20:54 UTC,22.795266203703704,547.0863888888889,9349376.34
data-raw/flowcam-summaries-dec01/16CR5_R2_summary,16.0,CR,5,12457.0,2016-12-01  11:23:56,503.38,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:23:56 UTC,22.797372685185184,547.1369444444445,6270604.66
data-raw/flowcam-summaries-dec01/25CR1_summary,25.0,CR,1,30135.0,2016-12-01  11:28:51,545.23,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:28:51 UTC,22.800787037037036,547.2188888888888,16430506.05
data-raw/flowcam-summaries-dec01/25CR2_summary,25.0,CR,2,19931.0,2016-12-01  11:30:40,591.38,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:30:40 UTC,22.80204861111111,547.2491666666666,11786794.78
data-raw/flowcam-summaries-dec01/25CR3_R2_summary,25.0,CR,3,19353.0,2016-12-01  11:32:36,505.14,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:32:36 UTC,22.803391203703704,547.2813888888888,9775974.42
data-raw/flowcam-summaries-dec01/25CR4_summary,25.0,CR,4,21722.0,2016-12-01  11:34:18,521.6,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:34:18 UTC,22.80457175925926,547.3097222222223,11330195.200000001
data-raw/flowcam-summaries-dec01/32CR_R5_summary,32.0,CR,,106187.0,2016-12-01  11:44:30,303.46,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:44:30 UTC,22.81165509259259,547.4797222222222,32223507.02
data-raw/flowcam-summaries-dec01/32CR1_summary,32.0,CR,1,10924.0,2016-12-01  11:40:08,370.28,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:40:08 UTC,22.808622685185185,547.4069444444444,4044938.7199999997
data-raw/flowcam-summaries-dec01/32CR2_R5_summary,32.0,CR,2,43129.0,2016-12-01  11:47:00,361.49,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:47:00 UTC,22.813391203703702,547.5213888888889,15590702.21
data-raw/flowcam-summaries-dec01/32CR3_summary,32.0,CR,3,54222.0,2016-12-01  11:48:58,363.17,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:48:58 UTC,22.814756944444444,547.5541666666667,19691803.740000002
data-raw/flowcam-summaries-dec01/32CR4_R2_summary,32.0,CR,4,49407.0,2016-12-01  11:53:37,307.2,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:53:37 UTC,22.81798611111111,547.6316666666667,15177830.399999999
data-raw/flowcam-summaries-dec01/32CR5_summary,32.0,CR,5,45392.0,2016-12-01  11:51:41,419.06,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:51:41 UTC,22.816643518518518,547.5994444444444,19021971.52
data-raw/flowcam-summaries-dec01/38CR1_summary,38.0,CR,1,471.0,2016-12-01  11:58:03,456.31,2016-11-08T16:15:43Z,2016-11-08 16:15:43 UTC--2016-12-01 11:58:03 UTC,22.821064814814815,547.7055555555555,214922.01
